latitude,longitude,ext_id,emitted_lux_level,postcode,locality
-37.8192419994845,144.94734999983675,105960,28.739,3008,DOCKLANDS
-37.81924399982323,144.94735200061783,105959,28.935,3008,DOCKLANDS
-37.81924599954714,144.9473549999786,105958,29.423,3008,DOCKLANDS
-37.819247999866,144.94735699962445,105957,30.303,3008,DOCKLANDS
-37.81925100019306,144.94735800026828,105956,30.987,3008,DOCKLANDS
-37.81925299961112,144.9473599999393,105955,32.258,3008,DOCKLANDS
-37.81925599993817,144.94736100058327,105954,35.093,3008,DOCKLANDS
-37.81925900024541,144.94736200009189,105953,37.048,3008,DOCKLANDS
-37.81926100025847,144.94736300004794,105952,38.221,3008,DOCKLANDS
-37.819263999664976,144.94736399958163,105951,43.597,3008,DOCKLANDS
-37.81926699999198,144.94736500022594,105950,46.921,3008,DOCKLANDS
-37.819269000310676,144.9473669998726,105949,48.778,3008,DOCKLANDS
-37.81927199971714,144.94736799940657,105948,57.771,3008,DOCKLANDS
-37.81927500004413,144.94736900005108,105947,60.313,3008,DOCKLANDS
-37.819277000057134,144.94737000000754,105946,64.712,3008,DOCKLANDS
-37.81928000036432,144.94737099951675,105945,69.99,3008,DOCKLANDS
-37.81928299979054,144.94737200018648,105944,74.487,3008,DOCKLANDS
-37.81928599982794,144.94737500023763,105943,77.713,3008,DOCKLANDS
-37.81928900017084,144.94737899997975,105942,86.315,3008,DOCKLANDS
-37.819292999601515,144.94738199960926,105941,92.962,3008,DOCKLANDS
-37.81929599963869,144.94738499966118,105940,96.97,3008,DOCKLANDS
-37.81929999998975,144.94738800040182,105939,99.316,3008,DOCKLANDS
-37.819303000026785,144.9473910004543,105938,99.316,3008,DOCKLANDS
-37.81930700035792,144.9473940000601,105937,99.316,3008,DOCKLANDS
-37.81930999949407,144.94739700013798,105936,99.316,3008,DOCKLANDS
-37.81931300043163,144.94740000016628,105935,99.316,3008,DOCKLANDS
-37.81931699986181,144.94740299979787,105934,99.316,3008,DOCKLANDS
-37.819319999593155,144.9474050001605,105933,99.316,3008,DOCKLANDS
-37.81932299962978,144.94740800021444,105932,99.316,3008,DOCKLANDS
-37.81932500025312,144.94741099955493,105931,99.316,3008,DOCKLANDS
-37.81932799998433,144.9474129999181,105930,99.316,3008,DOCKLANDS
-37.819331000020775,144.9474159999727,105929,99.316,3008,DOCKLANDS
-37.819333999751905,144.9474180003362,105928,99.316,3008,DOCKLANDS
